part,type,tag,number,price_per_device_CAD,description,note,provider,link
Pi zero W,off-the-shelf,pi_zero,1,20,The [Raspberry Pi Zero W](https://www.raspberrypi.com/products/raspberry-pi-zero-w/) microcomputer,,canakit.com,https://www.canakit.com/raspberry-pi-zero.html?defpid=4307
Pi camera HQ,off-the-shelf,camera,1,70,The [Raspberry Pi High Quality Camera](https://www.raspberrypi.com/products/raspberry-pi-high-quality-camera/) ,,pishop.ca,https://www.pishop.ca/product/raspberry-pi-hq-camera/
8mm CS lens,off-the-shelf,lens,1,30,An 8mm Cs mount lens with manually-adjustable aperture and focus and a 50° horizontal field of view.,,arducam,https://www.arducam.com/product/arducam-cs-mount-lens-for-raspberry-pi-hq-camera-8mm-focal-length-with-manual-focus-and-adjustable-aperture/
32 GB SD card (5 units / pack),off-the-shelf,sd_card,1,5.6,"A micro sd card. 32GB should be enough, unless you retrieve the data from your Sticky Pi very infrequently (e.g. every other month). You need to [manually flash it](#_burn_sd_card) before inserting it into the [Raspberry Pi](#pi_zero)",,amazon.ca,https://www.amazon.ca/KOOTION-Micro-10pcs-UHS-I-Memory/dp/B07XKX2NXP/ref=sr_1_10?keywords=micro+sd+16&qid=1573071363&sr=8-10
15cm camera flex cable ( (HBV RPI 160 FPC),off-the-shelf,flex_cable,1,1,A flexible cable to connect that connects the [camera](#camera) to the [Raspberry Pi](#pi_zero),,aliexpress.com,https://www.aliexpress.com/item/32947418836.html?spm=a2g0o.cart.0.0.5eaa3c001hHS8H&mp=1
Microscope slide (standard: 75 x 25 mm),off-the-shelf,glass_slide,1,0.25,A microscope slide that you can cut manually to make a lens cover on the [front of the camera box](#cambox_front),,amazon.ca,https://www.amazon.ca/AmScope-BS-50P-Microscope-Ground-Pre-Cleand/dp/B00NYI4RSG/ref=sr_1_9?crid=3BS2D29E3I3PE&keywords=microscope+slides+25+x+75&qid=1654125751&sprefix=microscope+slides+25+x+75+%2Caps%2C128&sr=8-9
Zip tie 12in,off-the-shelf,zip_tie_long,2,0.1,A pair of long zip ties to attach the [temperature probe](#dht22),,amazon.ca,https://www.amazon.ca/gp/product/B08N4B3PWC/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1
Zip tie 4in,off-the-shelf,zip_tie_short,1,0.1,A small zip tie to secure the cable during the [lightbox assembly](#_build_lightbox),,amazon.ca,https://www.amazon.ca/gp/product/B09TQXR4LR/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
"Male PCB headers (2x20, 2.54mm)",off-the-shelf,header_male_2x20,1,0.5,PCB headers to solder on the [Raspberry Pi](#pi_zero),You might also be able to buy raspberry pis with presoldered headers,aliexpress.com,https://www.aliexpress.com/item/32878530745.html?spm=a2g0o.productlist.0.0.69656a17yX6gny&algo_pvid=22c123fd-bad6-407e-8ab4-8394b37d1f72&algo_exp_id=22c123fd-bad6-407e-8ab4-8394b37d1f72-8&pdp_ext_f=%7B%22sku_id%22%3A%2265640776223%22%7D&pdp_pi=-1%3B2.74%3B-1%3B-1%40salePrice%3BCAD%3Bsearch-mainSearch
"Male PCB headers (2x1, 2.54mm)",off-the-shelf,header_male_2x1,1,0,PCB headers to solder on the testing slot of our [Raspberry Pi Hat](#pi_hat),You can buy extra [2x20 headers](#header_male_2x20) and break them to 2x1.,aliexpress.com,https://www.aliexpress.com/item/32878530745.html?spm=a2g0o.productlist.0.0.69656a17yX6gny&algo_pvid=22c123fd-bad6-407e-8ab4-8394b37d1f72&algo_exp_id=22c123fd-bad6-407e-8ab4-8394b37d1f72-8&pdp_ext_f=%7B%22sku_id%22%3A%2265640776223%22%7D&pdp_pi=-1%3B2.74%3B-1%3B-1%40salePrice%3BCAD%3Bsearch-mainSearch
11pin 2.54mm PCB Screw Terminal Blocks,off-the-shelf,terminal_block,1,1,Small terminal blocks to solder on the back of our [Raspberry Pi Hat](#pi_hat),,aliexpress.com,https://www.aliexpress.com/item/1005002453862004.html?spm=a2g0o.9042311.0.0.7ffa4c4dxnouy5
dht22 temperature humidity sensor,off-the-shelf,dht22,1,4,A humidity and temperature sensor,,aliexpress.com,https://www.aliexpress.com/item/32901733917.html?spm=a2g0s.9042311.0.0.13564c4dqiiNwk
8mm push button,off-the-shelf,push_button,1,1.4,A waterproof stainless steel push button to insert in the [back of the camera box](#cambox_back),,aliexpress.com,https://www.aliexpress.com/item/4000043687021.html?spm=a2g0s.9042311.0.0.10444c4dmVJAuf
5mm orange led (WP7113SECK),off-the-shelf,led_orange,1,0.5,A bright orange LED to insert in the [back of the camera box](#cambox_back),,digikey,https://www.digikey.com/en/products/detail/kingbright/WP7113SECK-J3/4753660
M12x1.2 cable gland,off-the-shelf,cable_gland,1,1,A stainless steel cable gland to insert in the [back of the camera box](#cambox_back),,aliexpress.com,https://www.aliexpress.com/item/1005001952576665.html?spm=a2g0o.cart.0.0.f9233c00dhXaEx&mp=1
CR1220 Coin Cell,off-the-shelf,coin_cell,1,0.5,A small battery for our [Raspberry Pi Hat](#pi_hat). This is necessary for the clock to keep accurate time. The battery should last for several years (though we are currently testing this).,,amazon.ca,https://www.amazon.ca/Murata-CR1220-Battery-Lithium-Coin/dp/B0857H2TT7/ref=sr_1_5?crid=1E8KBJ9OX5NBA&keywords=coin+cell+CR1220&qid=1641554977&sprefix=coin+cell+cr1220%2Caps%2C223&sr=8-5
Silica desiccant bag,off-the-shelf,silica_bag,2,0,Silica bags to attach to the [Raspberry Pi sledge](#pi_sledge) to absorb moisture.,,aliexpress.com,https://www.aliexpress.com/item/32772734661.html?spm=a2g0s.9042311.0.0.4cf04c4dv3gVAu
